prior,features,method,samples_%,mae,rmse
PD,Width Only,SVI,5,0.6671,0.8962666666666667
PD,Full Model,MCMC,10,0.4619333333333333,0.6058666666666667
DS,Full Model,MCMC,20,0.3795,0.4966
PD,Full Model,MCMC,40,0.34613333333333335,0.45166666666666666
WDS,Full Model,MCMC,60,0.37273333333333336,0.47259999999999996
PD,Full Model,MCMC,80,0.37873333333333337,0.4799
DS,Full Model,MCMC,90,0.3688,0.4727666666666666
PD,Full Model,SVI,95,0.3704,0.4886333333333333
PD,Full Model,MCMC,100,0.3712,0.47113333333333335
