prior,features,method,samples_%,mae,rmse
MUSIC,Width Only,SVI,10,0.4844,0.5986
DS,Width Only,SVI,10,0.4844,0.5986
WDS,Width Only,SVI,10,0.4844,0.5986
PD,Width Only,SVI,5,0.6671,0.8963
DS,Width Only,SVI,5,0.6672,0.8963
WDS,Width Only,SVI,5,0.6672,0.8963
MUSIC,Width Only,SVI,5,0.6672,0.8963
WDS,Full Model,SVI,5,0.6751,0.9107
PD,Full Model,SVI,5,0.6752,0.9107
MUSIC,Full Model,SVI,5,0.6752,0.9107
DS,Full Model,SVI,5,0.6752,0.9107
MUSIC,Full Model,MCMC,5,0.6978,0.9297
DS,Full Model,MCMC,5,0.6978,0.9297
WDS,Full Model,MCMC,5,0.7025,0.9309
PD,Full Model,MCMC,5,0.708,0.9324
PD,Width Only,MCMC,5,0.7357,0.9635
WDS,Width Only,MCMC,5,0.7404,0.9671
DS,Width Only,MCMC,5,0.7462,0.9763
MUSIC,Width Only,MCMC,5,0.7462,0.9763
WDS,Sensor Only,MCMC,95,1.056,1.2607
PD,Sensor Only,MCMC,95,1.0569,1.2656
WDS,Sensor Only,MCMC,100,1.0617,1.2651
PD,Sensor Only,MCMC,80,1.0645,1.2737
MUSIC,Sensor Only,MCMC,100,1.0648,1.2631
DS,Sensor Only,MCMC,100,1.0648,1.2631
PD,Sensor Only,MCMC,100,1.0655,1.2634
WDS,Sensor Only,MCMC,80,1.0659,1.2757
PD,Sensor Only,MCMC,40,1.0661,1.2741
MUSIC,Sensor Only,MCMC,60,1.0671,1.2734
DS,Sensor Only,MCMC,60,1.0671,1.2734
DS,Sensor Only,MCMC,90,1.0674,1.2739
MUSIC,Sensor Only,MCMC,90,1.0674,1.2739
MUSIC,Sensor Only,MCMC,80,1.0675,1.2747
DS,Sensor Only,MCMC,80,1.0675,1.2747
DS,Sensor Only,MCMC,95,1.0683,1.271
MUSIC,Sensor Only,MCMC,95,1.0683,1.271
PD,Sensor Only,MCMC,90,1.0685,1.2734
PD,Sensor Only,MCMC,60,1.0688,1.276
MUSIC,Sensor Only,MCMC,40,1.0689,1.2766
DS,Sensor Only,MCMC,40,1.0689,1.2766
PD,Sensor Only,SVI,100,1.069,1.2673
DS,Sensor Only,SVI,100,1.069,1.2673
MUSIC,Sensor Only,SVI,100,1.069,1.2673
WDS,Sensor Only,SVI,100,1.069,1.2673
WDS,Sensor Only,MCMC,90,1.0691,1.2739
WDS,Sensor Only,MCMC,40,1.0696,1.2744
WDS,Sensor Only,MCMC,60,1.0711,1.281
DS,Sensor Only,SVI,40,1.0745,1.2698
MUSIC,Sensor Only,SVI,40,1.0745,1.2698
WDS,Sensor Only,SVI,40,1.0745,1.2698
PD,Sensor Only,SVI,40,1.0745,1.27
DS,Sensor Only,SVI,90,1.0833,1.2854
MUSIC,Sensor Only,SVI,90,1.0833,1.2854
WDS,Sensor Only,SVI,90,1.0833,1.2854
PD,Sensor Only,SVI,90,1.0833,1.2854
PD,Sensor Only,SVI,60,1.0971,1.3143
MUSIC,Sensor Only,SVI,60,1.0972,1.3143
DS,Sensor Only,SVI,60,1.0972,1.3143
WDS,Sensor Only,SVI,60,1.0972,1.3143
PD,Sensor Only,SVI,80,1.0972,1.2895
DS,Sensor Only,SVI,80,1.0972,1.2894
WDS,Sensor Only,SVI,80,1.0972,1.2895
MUSIC,Sensor Only,SVI,80,1.0972,1.2894
PD,Sensor Only,SVI,95,1.0978,1.2967
DS,Sensor Only,SVI,95,1.0978,1.2967
MUSIC,Sensor Only,SVI,95,1.0978,1.2967
WDS,Sensor Only,SVI,95,1.0978,1.2967
WDS,Sensor Only,MCMC,20,1.1747,1.4212
PD,Sensor Only,SVI,20,1.1762,1.4292
MUSIC,Sensor Only,SVI,20,1.1763,1.4292
WDS,Sensor Only,SVI,20,1.1763,1.4292
DS,Sensor Only,SVI,20,1.1763,1.4292
DS,Sensor Only,MCMC,20,1.1801,1.426
MUSIC,Sensor Only,MCMC,20,1.1801,1.426
PD,Sensor Only,MCMC,20,1.1816,1.4346
WDS,Sensor Only,MCMC,10,1.2993,1.5647
MUSIC,Sensor Only,MCMC,10,1.3016,1.5725
DS,Sensor Only,MCMC,10,1.3016,1.5725
PD,Sensor Only,MCMC,10,1.3018,1.5687
PD,Sensor Only,SVI,10,1.3172,1.5899
WDS,Sensor Only,SVI,10,1.3173,1.5899
DS,Sensor Only,SVI,10,1.3173,1.5899
MUSIC,Sensor Only,SVI,10,1.3173,1.5899
PD,Sensor Only,MCMC,5,1.318,1.6777
WDS,Sensor Only,MCMC,5,1.3244,1.6732
DS,Sensor Only,MCMC,5,1.333,1.6942
MUSIC,Sensor Only,MCMC,5,1.333,1.6942
WDS,Sensor Only,SVI,5,1.3736,1.736
PD,Sensor Only,SVI,5,1.3736,1.7359
MUSIC,Sensor Only,SVI,5,1.3736,1.736
DS,Sensor Only,SVI,5,1.3736,1.736
