n_group,eventNum,peakRssi,phase,channel,pos_x,pos_y,pos_z,depth,angle_rx,angle_ry,angle_rz,angle_tx,angle_ty,angle_tz,moist,antenna,reads,idHex,format,PC,CRC,MAC,hostName,time_reader,type,power,power2,tag,obs,cmd,cmd_issued,cmd_received
8,	14270,	-59,	138.426467895508,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.231,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14271,	-58,	-1.67546617984772,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.24,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14272,	-70,	-112.421035766602,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.242,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14273,	-58,	-75.5168304443359,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.244,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14274,	-65,	-94.7654647827148,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.247,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14275,	-58,	-176.22607421875,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.256,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14276,	-59,	134.63606262207,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.261,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14277,	-64,	-41.6833992004395,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.267,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14278,	-58,	-0.280159920454025,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.276,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14279,	-65,	-93.9140014648438,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.278,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14280,	-58,	-75.0224304199219,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.28,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
8,	14281,	-69,	-116.365242004395,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.282,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14282,	-59,	135.037078857422,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.294,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	start,	1280693.25606802,	1280693.32926378
9,	14283,	-58,	-175.561386108398,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.298,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14284,	-65,	-33.8059616088867,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.302,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14285,	-57,	-78.6095733642578,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.308,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14286,	-65,	-97.3143692016602,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.31,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14287,	-58,	-0.780053079128265,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.312,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14288,	-69,	-116.738792419434,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.314,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14289,	-59,	135.970947265625,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.324,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14290,	-58,	-178.137756347656,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.326,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14291,	-65,	-38.2171096801758,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.33,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14292,	-69,	-118.436233520508,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.338,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14293,	-57,	-79.3731460571289,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.34,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14294,	-58,	-3.63109230995178,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.342,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14295,	-65,	-96.5617828369141,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.344,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14296,	-58,	-175.478988647461,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.354,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14297,	-59,	135.877563476562,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.356,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14298,	-64,	-38.7005233764648,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.359,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14299,	-57,	-2.35114598274231,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.368,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14300,	-69,	-117.777030944824,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.37,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14301,	-57,	-79.3676528930664,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.372,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14302,	-65,	-96.6936264038086,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.375,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14303,	-59,	134.015319824219,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.384,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14304,	-58,	-178.890350341797,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.389,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14305,	-65,	-32.9050559997559,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.392,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14306,	-58,	-2.13690614700317,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.401,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14307,	-69,	-121.39714050293,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.403,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14308,	-57,	-78.9117126464844,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.405,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14309,	-65,	-95.4411468505859,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.408,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14310,	-58,	-176.374404907227,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.417,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14311,	-59,	136.119262695312,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.422,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14312,	-64,	-38.1951370239258,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.428,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14313,	-57,	-81.0705871582031,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.436,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14314,	-57,	-2.83455920219421,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.441,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14315,	-70,	-110.020446777344,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.443,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14316,	-65,	-96.5727691650391,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.445,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14317,	-59,	133.559371948242,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.466,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14318,	-64,	-39.2828140258789,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.468,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14319,	-58,	-176.874298095703,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.47,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14320,	-58,	-1.68645286560059,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.471,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14321,	-57,	-78.2744827270508,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.474,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14322,	-65,	-96.7210922241211,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	e2001036990f0088254013fe,	epc,	3000,	d565,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.481,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14323,	-69,	-119.721672058105,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.486,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14324,	-64,	-42.2602005004883,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.489,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14325,	-59,	136.1796875,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.491,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14326,	-58,	-175.270248413086,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	2,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.503,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14327,	-57,	-1.10965299606323,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	300833b2ddd9014000000000,	epc,	3000,	39bb,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.507,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
9,	14328,	-57,	-76.4452056884766,	867.5,	0,	0.592,	0,	0.096,	0,	0,	0,	180,	180,	180,	0,	1,	1,	000233b2ddd9014000000000,	epc,	3000,	6276,	C4:7D:CC:73:CC:B2,	FX750073CCB2,	1752090624.507,	SIMPLE,	29.2,	29.2,	Belt0001,	Container_Water,	,	,	
